IMAGE,,STANDERD DEVIATION
'ISIC_0000011.jpg',,0.428697406
'ISIC_0000017.jpg',,0.403827108
'ISIC_0000018.jpg',,0.446570526
'ISIC_0000019.jpg',,0.480740166
'ISIC_0000021.jpg',,0.458417574
'ISIC_0000034.jpg',,0.499992488
'ISIC_0000039.jpg',,0.378316619
'ISIC_0000041.jpg',,0.236869368
'ISIC_0000042.jpg',,0.441624646
'ISIC_0000047.jpg',,0.408259533
'ISIC_0000048.jpg',,0.326337313
'ISIC_0000051.jpg',,0.472642952
'ISIC_0000054.jpg',,0.43310107
'ISIC_0000055.jpg',,0.489695872
'ISIC_0000058.jpg',,0.475201966
'ISIC_0000059.jpg',,0.473083086
'ISIC_0000061.jpg',,0.485966468
'ISIC_0000062.jpg',,0.343274338
'ISIC_0000063.jpg',,0.491878765
'ISIC_0000065.jpg',,0.475068601
'ISIC_0000067.jpg',,0.426764208
'ISIC_0000068.jpg',,0.498923256
'ISIC_0000073.jpg',,0.417048858
'ISIC_0000074.jpg',,0.460841799
'ISIC_0000078.jpg',,0.327032643
'ISIC_0000079.jpg',,0.233059595
'ISIC_0000080.jpg',,0.374136503
'ISIC_0000082.jpg',,0.442747423
'ISIC_0000086.jpg',,0.446790943
'ISIC_0000087.jpg',,0.485705985
'ISIC_0000089.jpg',,0.342807127
'ISIC_0000093.jpg',,0.345584854
'ISIC_0000095.jpg',,0.298845004
'ISIC_0000102.jpg',,0.423867602
'ISIC_0000103.jpg',,0.461405174
'ISIC_0000108.jpg',,0.387968754
'ISIC_0000119.jpg',,0.338109482
'ISIC_0000128.jpg',,0.384997961
'ISIC_0000134.jpg',,0.301232505
'ISIC_0000135.jpg',,0.315276289
'ISIC_0000137.jpg',,0.447596811
'ISIC_0000139.jpg',,0.447596811
'ISIC_0000145.jpg',,0.424180787
'ISIC_0000148.jpg',,0.475825958
'ISIC_0000153.jpg',,0.33828139
'ISIC_0000154.jpg',,0.467187454
'ISIC_0000157.jpg',,0.335028896
'ISIC_0000171.jpg',,0.489864963
'ISIC_0000175.jpg',,0.499039191
'ISIC_0000176.jpg',,0.458744986
'ISIC_0000185.jpg',,0.401542177
'ISIC_0000186.jpg',,0.493477173
'ISIC_0000191.jpg',,0.406875859
'ISIC_0000199.jpg',,0.471422734
'ISIC_0000204.jpg',,0.276177386
'ISIC_0000206.jpg',,0.497109955
'ISIC_0000211.jpg',,0.443054428
'ISIC_0000214.jpg',,0.494833603
'ISIC_0000218.jpg',,0.441523021
'ISIC_0000220.jpg',,0.368332128
,AVG,0.417340126
